"","LSG2h_Input","LSG2h_Pool1","LSG2h_Pool2","LSG2h_Pool3","LSG6h_Input","LSG6h_Pool1","LSG6h_Pool2","LSG6h_Pool3"
"Prorsd1",-0.969721007776109,-0.838435029179619,-1.07903340644869,-2.03573268695048,-0.968775871429367,-1.29593958723462,-1.25074401145668,-1.56930776770314
"Malt1",1.93347541015818,2.5029278931805,2.00146229222016,1.58711379503857,1.82758891480393,2.2244091800707,1.83817905184096,1.58710878455056
"Oas2",1.04214039802199,1.21202031099706,0.755972622885114,0.946940615711113,1.83337488208264,1.99641761005374,1.31764983445944,1.56407155558085
"Nlrp3",2.03068918596763,1.82953293217435,2.14198142662759,2.5684055982532,1.98519981977206,1.92958585376911,2.10360211559564,2.42200456588942
"Lmo2",-0.776120784031017,-0.735413142873822,-0.905185639601408,-1.05345632168431,-1.05146024328941,-1.14348992484082,-1.15267932034597,-1.31999037283097
"Resf1",1.09415359995077,1.25808866198864,1.03074644441531,1.00222899980044,0.405534456894153,0.622016335692583,0.494585794449924,0.381451658250857
"Abtb2",2.00488097678344,2.30120446402644,2.38583033145864,2.12806654090399,1.70032783070541,2.08972876304074,2.32889224747778,2.12978211317201
"Mier3",1.71959245278239,1.80164029894103,1.8312892926001,1.77844403675167,1.5043395332535,1.8133291790153,1.80631647732933,1.90468997193339
"Tpcn1",-0.721978298368763,-0.91855638286564,-0.718915703959186,-0.798863891793258,-1.78038561772696,-2.24762618543422,-2.3806527608498,-2.36743857343521
"Gpbp1",0.830331670529432,1.01420022071967,0.898662706019703,0.910177029323952,0.825482616444869,1.1815108355045,1.10243798740165,0.932082595275036
"Slc8b1",-0.895449100007421,-1.03839265496192,-1.00372196379598,-1.20053052936,-0.488171906870041,-0.664849938372559,-0.672140717981057,-0.69628020995236
"Gtf3c1",-0.842706661099339,-0.898088878045655,-1.2489141759098,-1.38761079109065,-0.297361817712674,-0.386849284109228,-0.534569391401686,-0.420482655785858
"Pdxk",-0.887154475045696,-1.12668713946276,-1.02167327893856,-1.10774282751047,-1.9505615214666,-1.78549571555316,-1.82099101303653,-2.04073701483669
"Prr5l",0.232297707143018,0.346285645169921,0.8029132702877,-0.492484659964497,0.284095578348535,0.651634752939645,1.00585680727724,-0.442736774685575
"P2ry2",1.69980843858462,1.58129715356441,1.44909606556469,1.4735858118168,1.50484375158799,1.49385258612366,1.58444178775296,1.36602538948685
"Fbxo21",-1.33223004007443,-1.93594636301714,-1.39703784306402,-2.26089993082877,-1.17256520113551,-1.54180741326748,-0.859879678945302,-1.79970283470511
"Slc16a1",1.45371219400395,1.7718927990806,1.47907501596226,1.36565538277942,1.21613090398649,1.46935415135438,1.28011961052581,1.2420875104638
"Rasgrp2",1.43044058694645,0.545498673288763,0.219552363395717,1.18111757560113,-0.0413717944386955,-0.508774309252602,-0.547596942886372,-0.612632413230191
"Ift57",0.429200539860105,0.442887003515304,0.439417541158076,0.626921289961473,0.824718600477767,1.1230740699032,1.05832027567764,0.666837947893471
"Nfatc1",-0.709322377073629,-0.634730021370369,-0.315807951152765,-0.697787231955964,-1.26231053823869,-1.02890300651857,-0.985149032919129,-1.10130523405222
"Gas7",1.00102780256469,1.11252525170462,1.15927762114179,1.25240709540853,0.503777600117054,0.626389505120064,0.584413117259238,0.37310001653158
"Triobp",0.737775854859345,0.787559206895433,0.721028555821873,0.61757179503853,0.857896958181989,1.04852972872807,1.07049011225382,1.03888797742708
"Apmap",0.734889603223634,0.89265120687402,0.891555012944751,1.06673891388625,1.11991389600058,0.934434535675701,1.5220996193661,1.92044177332741
"Phldb2",3.14656098937943,3.11920695109902,2.40169816021804,1.6820342937354,2.86063384001883,2.66451642095671,2.32263304243729,1.1459434903481
"AA467197",1.37272975276094,1.38770577342,1.83552266973509,1.24853522596626,2.21803758737532,2.26996194220365,2.96536333508516,2.01220960846353
"Gstt2",-0.0685656922662643,-0.11932927383987,-0.281173771469432,-0.107459685780446,-0.736626406502235,-0.547324146352049,-0.708487563919114,-1.04402557911948
"Kdm4a",0.322369685888408,0.387051534996289,0.637250793237798,0.196265673500117,1.3078215547693,1.41785084263867,1.67445038992704,1.2752484623223
"Map2k4",1.28577351460719,1.42030459372272,1.16316438396295,1.25124493219072,1.0853456226238,1.24742170262013,1.10076744339733,1.20166214152488
"Rtp4",1.80631196878135,1.76981118648381,1.8331816621263,1.32122308117106,2.10533831361469,2.13123551086501,2.12571178812004,1.52300642716204
"Ipo13",-0.406408987150185,-0.72313188928381,-0.593397467138368,-1.10155356806984,-0.997087734980235,-1.36782313841574,-1.11512389608407,-1.46137392738186
"Atp6v0b",0.526760100099073,0.812543082607796,0.601730080100278,0.459255307211142,0.915638816045732,1.26445067373229,1.11196423835999,0.933086646857056
"Frrs1",-0.488009616982104,-0.739965890515499,-0.421109642070281,-0.200271986176121,-1.04143291505403,-1.29954050589586,-0.968660067668853,-1.04419757113036
"Agl",-0.331092005374604,-0.438603889551615,-0.779754573483312,-0.0970237237761427,-0.998085201383124,-1.63287939402206,-1.65046358090126,-1.63101300763062
"Lpar6",-3.52873949956682,-2.18521992894332,-2.21166892446745,-2.06854860271997,-2.86868929246855,-2.05778505494051,-1.92215727164726,-1.62753725201077
"Tagap",0.960370325988912,1.26380775986786,1.11124302617376,0.803801185202477,1.74895121501743,2.18430095369545,1.94401805613962,1.76333670940722
"Zbtb1",-0.543248759168954,-1.20900084680117,-0.991048705702142,-0.987733764554381,-0.0941313654642695,-0.576029877454346,-0.610569569318911,-0.276877545521319
"Fndc3a",1.25872797245305,1.49670038520773,1.17350643031727,0.905754272333021,1.71765237838212,1.7568346689017,1.54391464433925,1.66324364764766
"Casp4",1.67901540604914,1.73287476634084,1.78711120629531,1.5015680671564,2.41170431413933,2.2735255807133,2.41506980159428,2.1756032557593
"Znrf1",1.11697709937164,1.19954678386801,1.13232527008581,0.958798797406516,1.60029345433604,1.67254901301047,1.89369842295562,1.65906103217704
"Fam20b",0.291612822859888,0.028177823828329,0.0824505136730989,-0.267572213515415,1.19480848764173,1.04242527493901,0.991003489284652,0.89286682330591
"Pcgf3",1.23796473490229,1.35199032775382,1.35336045059801,0.782284457479969,1.2778247431289,1.33670254854642,1.41458285510451,0.789065396725241
"Ddx19b",0.49167756534138,0.643343711949504,0.848313901809338,0.224395962685798,0.994313522939652,1.24856181177257,1.15935817465858,0.864206754087757
"Arhgap39",-0.116993543356141,-1.02862139836934,-1.07582153433893,-1.15973262651963,-0.318297022575808,-0.742811739525405,-0.85749102069793,-1.00982457401456
"Stard9",-1.2477596055554,-1.74817803532679,-2.07975540754355,-1.47205956230108,-2.04034202303528,-2.17071543357322,-2.8683860931474,-2.11329684670619
"Vav3",0.846582098837207,0.970799317170196,1.1173209436717,1.40606859044291,0.315658351126638,0.443424697252109,0.288038827281186,0.857657467092396
"Sf3b3",0.393839417138758,0.243856859874771,0.340459881086829,0.306644162816428,0.907036732836433,0.788612117315374,0.959149508875244,1.15550405607561
"Spr",-0.781379640257855,-0.504299745719419,-0.758481890755662,-0.834572892654037,-0.899064054216713,-0.485546024545252,-0.928910038699365,-1.04142436554665
"Gadd45gip1",-0.425941509298662,-0.410074545206651,-0.789168612091871,-1.17873071167385,-0.0906545279665329,-0.107798619591915,-0.396961648294776,-0.370796865420333
"Tmem131l",-0.627117709043699,-0.922402363813124,-1.12897089039277,-1.28264745325789,-0.561904101358858,-0.817584212011324,-0.764972645316574,-1.02457452504376
"Tlr13",-1.10291432733025,-0.713196265301515,-1.08243394216307,-0.939060460380371,-1.64997429057986,-1.82227006233554,-1.78202423580966,-1.9427396267709
"Asb13",0.190515535913887,0.345709289421827,-0.158077508817151,-0.114774209712265,0.996598837447606,1.21156016903328,0.997158602995003,1.17096613679276
"Atp7a",0.442299115094428,0.193684813129587,0.120407981274033,0.535680359997291,-0.558259766520183,-0.837144482896059,-1.3623287028852,-0.498995984529447
"Fam208b",1.25918613791449,1.44470232399337,1.37567058071409,0.80412596402482,1.03340593846463,1.33135328004779,1.0135082722907,0.827426043112183
"Lgals3bp",0.410654347013836,0.619692453939377,0.279808849712179,0.172487701878786,0.966754853674567,1.20254946238036,1.08048515467526,1.06513054019364
"Mapkbp1",0.714056236899374,1.24492830046065,0.655942891311084,0.865834356766503,1.83753551521185,1.97145191588425,1.92175508235291,2.40695832389413
"Gde1",0.402732081162793,0.422594167756492,0.175521952372367,0.0170592917158263,1.50185535767519,1.53878046108425,1.14116404660013,0.66870503136809
"Vhl",-0.773835758165374,-1.02027422618114,-0.985806555442253,-0.677083647590221,-0.277893517911389,-0.405219705590167,-0.353149515824923,-0.219290536803985
"Trim36",1.20717566929105,1.36751389017878,1.06282681308644,1.55183880371578,0.634329490980819,0.763307451651688,0.575111162098177,1.07826422198157
"Rnf225",0.408955750139149,0.937220215238314,1.14253693012001,0.60301603231971,2.87045774199595,3.46648684533572,3.29808509743585,2.1326683035567
"Rfc3",0.104033134253919,0.323457464650983,-0.514842176485875,-0.151189370701481,1.05010100348178,1.23558304950763,1.1696969694085,1.33491107259787
"Pqlc1",-1.00301465233271,-1.15318545832998,-1.15471674045461,-1.28157911223329,-1.68474132156328,-1.9172496002006,-2.00491941740484,-2.2090952503093
"Lyl1",-2.25017395644881,-1.85099719221826,-2.26201120376374,-3.67542006878647,-1.95607398539105,-1.32457633498805,-1.73365627708675,-2.57377127919564
"Zdhhc5",0.617478912974021,0.649754794510776,0.749602342042333,0.502892512954113,1.10852619553445,0.994685336377791,1.0505816524312,1.06234781256708
"Tpst1",0.751985803951999,0.842290038965368,0.803597720199106,0.843981134683728,1.55527993403565,1.84850958169628,1.73775504928627,1.32445677230053
"Cipc",-1.35176734295687,-1.82739690237152,-1.25929196757582,-1.46954113845344,-0.462427102890394,-0.741173489092991,-0.598907329185003,-0.838051882164553
"Ogt",-0.406307970288104,-0.765786240473726,-0.355649389174964,0.0091273954884743,-0.597201474235691,-1.11012573644464,-0.270234679609128,0.413463097671948
"Irf2bpl",-1.29262674248119,-0.996134562166149,-0.996391943612888,-1.08485799756444,-1.18242302122547,-1.15468585990186,-1.67018730813892,-1.65366007886224
"Chmp7",-0.852190780572557,-0.429816564648298,-1.04698769135075,-0.879825063546987,0.0747825212188542,0.248423144455584,0.457422473972655,0.0623856041493136
"Vps18",-1.04808588836149,-0.666135515545248,-1.18846645217626,-1.16346387029276,-0.589862047303632,-0.41526611548522,-0.589732627613337,-0.634857806242988
"Atm",1.51923633166835,1.40386474166184,1.61430278740923,0.997926297002924,2.15555596741843,2.04628020578823,2.21994486583845,2.42286965536785
"Plekhm1",-1.18618589100151,-1.15917815357678,-1.26529043116659,-1.60530371149852,-1.11494982172601,-1.41079057211611,-1.32947752653865,-1.42128704155435
"Slc25a37",2.13778125220086,2.53059873176095,2.27890874370433,1.39184858934929,1.05388074551531,1.38891045387145,1.15403119476514,0.563472766886946
"Exosc4",-0.768544882183707,-0.805562459370845,-1.43709152645535,-0.929669451423558,-0.061865506718132,0.125676204837458,-0.226052345434989,-0.105833611810033
"Zdhhc14",-0.301283980506774,-0.403994518470127,-0.259382592570868,-0.145083569786446,-1.58083099005841,-2.31917331633425,-1.68901045864108,-1.51131197965785
"Batf",0.826532145358617,1.13861792600174,0.845686605758896,0.991005101255243,2.20991199188389,2.53371542927747,2.38973492675634,1.93768918361991
"Jdp2",1.84194057237006,2.40228933117678,2.18133198466597,1.44399081432715,1.50557005769404,2.13446464111432,1.76279251485836,1.29504872091191
"Med13",0.818350736944257,0.502258976863685,0.79371669871778,1.00571977236715,1.06232917082484,0.810890464214304,1.2679785655884,1.37072151532224
"Fam53c",1.72972126484043,1.86491284349479,1.85358568954776,1.82400994103677,1.32032337935527,1.18976638934712,1.31314806449827,1.34276307970038
"Ube2f",1.69556555321965,1.73806964836252,1.69992002388523,1.74351262839065,1.21051576610655,1.2772436159632,1.31895592528031,1.38155667567754
"Ramp1",-0.176141263748343,0.0203932846294634,-0.185337281890001,0.0191082407308429,-1.20301198309912,-1.28333702651331,-1.49922295384361,-0.23025825739638
"Mtmr3",-1.01035162482218,-1.13888850782695,-0.616322151184015,-1.14284458257672,-0.319166821442032,-0.750399527148076,-0.11620108626434,-0.0545677297125122
"Lif",2.06505137241928,2.34741104429485,2.24237105694331,2.39936266044745,2.20089794577282,2.56176529337673,2.56645321773029,2.3593496455995
"Parp14",1.76338671953378,2.10640767704906,1.86756994691093,1.81159808431278,1.64847355739702,1.80539404083192,1.62589267763351,1.73588857784053
"Gcsh",-0.828520391206184,-0.138476845308722,-0.779397627126173,-0.594018327770455,-1.6626701522524,-1.1137841944985,-1.98898724016599,-1.73499490400595
"Gm9761",0.309027002087687,-0.33733103677493,-0.368693358320784,0.539750499824776,1.44883918897485,0.452331857917869,1.29615777365795,1.55378559549668
"Ifit1",3.76098863198791,3.79521229767809,3.96836832751739,3.95091571260518,3.17039975116421,3.34341207109858,3.51011260762441,3.45330033509601
"Diaph2",0.356820058563333,0.1986733503544,0.22590849061613,0.0636864076867036,1.07858075430503,1.17016009430675,1.08009097304304,1.24730276839191
"Mad2l1bp",-1.12322288221874,-1.0461875020638,-0.918120841090452,-0.963150207991384,-0.664830686850725,-0.525158446488818,-0.53988299227652,-0.578176422229558
"Ccpg1",-0.282410551394434,-0.400766148797717,-0.0141935023991886,-0.0911332243082787,-1.26616109151293,-1.34111111367624,-0.804083735601306,-1.29751185883058
"Daam1",2.03625891374686,2.1244519757183,1.9741319920219,2.27906875175391,1.56663130302359,1.5794528220627,1.80481640474287,2.01424472525656
"Tent4a",1.96534553720283,2.17626210806567,2.17711151729623,2.55407115649807,1.35474205021567,1.5337661076637,1.70779178731601,1.90031080874519
