"","sgCtu1-g1-R1-input","sgCtu1-g1-R2-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Eid1",15.1135508912008,13.1369274670696,20.2423935780081,18.6067558142452,12.1925421692613,17.4990215324476,20.4400239507719,20.0062475363776,12.7541719855436,12.8664121283486,22.9450520264052,0,14.0918059120822,17.9334555203175,20.0600414112131,16.5238782784772,12.8984246659277,24.6158697354649,21.2765519698036,13.978257952317,15.6480921896654,20.6165622490295,15.3347268705829
"Secisbp2l",17.2126551816453,29.5580868009067,22.6238516460091,21.2274256472375,18.3622623031044,15.1878300092942,24.3845899763594,18.8791349991169,20.6028932074165,17.2935646886407,19.8338585312994,46.139037984478,19.2923533320172,26.4020317382452,15.5465320936902,21.2721191630971,21.4341468713211,16.0538280883467,18.9852309884401,23.5423291828496,20.9375881411016,28.8631871486413,20.1456215750794
"Cops2",30.856833069535,30.8717795476137,33.9357774690137,30.6618370460097,34.814849326686,32.1915962153518,37.2940787873732,30.4320385060392,32.9646291318664,43.4414344978653,33.056430885499,0,33.7196784324823,36.8632141250971,36.1080745401836,33.0477565569544,34.5222542529242,27.8266353531343,27.1685202075954,34.3938715405694,32.6185583671899,19.2421247657608,37.5851148788796
"Galk2",41.9820858088911,51.8908634949251,51.4990307205207,62.1098750419171,53.0302135313656,54.3130007941064,58.4512965609792,69.8809773101641,52.5864321865488,59.9049080814512,59.8904747807864,46.139037984478,52.8442721703081,55.2948211876457,52.6576087044344,50.5212830123556,49.5071887912814,58.8640363239379,53.0277141401259,54.9934095755628,58.4048511304414,59.1008117805511,66.4504831058591
"Atp8b4",27.2883557757792,32.8423186676741,20.2423935780081,23.8480954802298,29.2327215865423,29.0549791482149,26.1775745334447,25.6418102226812,27.0780882154617,30.2983253344984,29.9452373903932,0,31.8743228963763,31.8816987027867,23.3197981405353,25.4505711415626,29.5905036453636,24.6158697354649,23.5678729511671,26.4851203307058,27.9902494096833,26.114312182104,22.2503880082967
"Gabpb1",13.2243570298007,9.85269560030224,13.3957016325054,10.2206123486699,11.604949775562,11.3908725069706,12.1922949881797,12.9617941784982,10.007119557888,12.7280636108395,10.500278045982,0,11.9109311875933,11.955637013545,10.7822722585271,12.3454263000117,11.3809629405245,10.7025520588978,12.438599613116,11.2193912512018,8.81582658572701,8.24662489961179,13.5306413563966
"Usp8",68.6407102975369,85.3900285359527,81.5649388290328,68.6615496243978,62.4316918305551,66.0340435186703,58.8098934723962,69.0356429072186,61.6124615917027,61.1500447390333,65.7239625841098,0,56.5349832425201,65.7560035744975,59.9293737159992,64.7660056662152,67.5270467804451,93.1122029124108,74.9589292474619,62.9021607854264,65.8983037283094,71.4707491299688,66.4504831058591
"Usp50",69.4803520137148,49.2634780015112,86.3278549650347,90.9372432048322,73.8897435076922,78.415426678421,87.8562432971773,80.0249901455106,77.3099040354486,72.3562746572725,75.4464422563154,0,78.8470092699835,78.2097921302736,121.363250537839,86.0381248293123,75.4937208388123,89.9014372947415,95.9081496484993,87.18018775524,89.7010355097723,76.9684990630434,82.386571814504
"Trpm7",13.2243570298007,19.7053912006045,10.1211967890041,14.1516170981583,14.249115547209,12.3813831597507,11.1165042539286,14.0889067157589,13.5390441077309,14.1115487859308,13.6114715410878,0,14.762844288848,12.4537885557761,9.77927018796639,14.2447226538596,12.8984246659277,13.9133176765671,12.7659311818822,12.1390134849068,11.4605745614451,10.995499866149,9.92247032802421
"Sppl2a",107.684050099806,95.8995705096084,99.7235565975401,96.440649854116,105.766630865882,110.772108002569,111.88223636212,103.41257529367,105.761518464738,101.409463334189,110.836268263144,46.139037984478,106.862861499956,115.571157797602,94.0314441150615,105.790806909331,107.929465219307,115.587562236096,108.674080830381,105.572632429341,93.2273661440631,100.33393627861,82.386571814504
"Blvra",154.913896634808,89.9879531494271,147.352717957559,158.026390929435,167.316934105888,181.75870478514,139.494198541232,167.939768051846,172.083212789565,188.984074917465,136.892513784655,46.139037984478,159.036095293499,159.408493513933,136.90978263153,153.843004661684,139.037430590074,141.273687177451,136.824595744276,151.553744114595,152.954591262364,151.188123159549,162.36769627676
