"","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome"
"Arl1",70.8436063030832,90.1503230326463,70.0455146612196,70.6809543801632,77.0909699652432,95.0183733747875,69.2782676369701,66.0573869496785,75.8943572704105,82.5106668967914
"Gas2l3",51.9112632393282,53.859777658482,52.4695183624634,48.03180877768,51.2142807461406,43.9128737508978,49.9620750518632,47.6874956350208,63.4185725136307,46.1553922104657
"Scyl2",12.2144148798419,9.50466664561447,9.82188028459906,10.5435677804663,12.3992469174867,5.2998295906256,11.1439572606386,12.8032575829433,20.792974594633,12.6453129343742
"Uhrf1bp1l",19.1359166450857,18.7213130898467,19.6437605691981,19.5251255193821,18.4640959532138,18.9279628236629,17.6445989960112,21.5243170959627,18.7136771351697,20.2325006949987
"Anks1b",401.447102384138,500.29108980098,553.902353944626,430.529017702375,430.604281536629,447.078481894917,437.028857238045,419.353074455825,418.978438081855,516.244900545825
"Apaf1",20.5609317144006,20.161414096758,14.4743498930934,20.5013817953512,20.3509378754401,18.9279628236629,22.4736471422879,26.9053963699533,18.7136771351697,17.3873052847645
"Slc25a3",216.398716954533,220.047433856044,249.16559458825,241.525802674757,221.569151438566,236.978094552259,222.321947349741,222.108685895408,238.079559108548,269.34516550217
"Tmpo",70.6400327217525,76.6133735676803,64.6176334513096,63.4566579379918,66.9828882390312,82.5259179111701,63.8920216276614,63.0885156260975,96.6873318650436,77.1364088996824
"Cdk17",15.0644450184717,9.21664644423221,8.78799814937811,11.7150753116293,12.668795763519,10.9782184377245,15.2300749228728,13.9165843292862,16.6343796757064,10.4323831708587
"Elk3",24.4288297596839,20.7374544995225,21.1945837720296,21.2823868161265,19.6770657603593,20.0636405930826,20.2448556901602,23.194307215477,21.8326233243647,19.2841022249206
"Lta4h",73.693636441713,73.7331715538577,73.664102134493,83.7627884781492,88.0076982295521,65.8693106263467,76.3361072353746,67.1707136960215,82.1322496488005,68.9169554923392
"Hal",9.56795832254285,14.1129898677306,10.85576241982,10.7388190356602,11.0515026873251,7.9497443859384,10.5867593976067,10.5766040902575,8.31718983785321,12.3291801110148
"Snrpf",65.3471196071544,107.143514914199,99.5111555150168,75.5622357600087,67.656760354112,102.968117760726,67.235208805853,68.4695949000882,114.361360270482,93.8914485377281
"Metap2",109.522586755916,180.876686468057,179.895491528446,112.464722991641,108.358636104992,157.102091436402,110.882374743354,109.662684514775,186.097122621966,161.54387273663
"Vezt",15.0644450184717,13.2489292635838,10.85576241982,8.78630648372194,12.5340213405028,10.9782184377245,13.1870160917557,16.5143467374196,9.35683856758486,12.9614457577335
"Fgd6",17.3037544131094,12.384868659437,14.4743498930934,16.7916079466686,12.5340213405028,16.2780480283501,16.5302032699473,23.194307215477,19.7533258649014,14.5421098745303
"Ndufa12",137.208593816891,187.213130898467,189.200430745435,141.166657505133,136.796039361402,198.74360964846,125.555251803195,122.280387639995,162.185201838138,172.924654377567
"Tmcc3",25.8538448289988,25.0577575202563,25.3301123129134,17.7678642226377,20.8900355675047,21.1993183625024,22.1021819002666,26.9053963699533,25.9912182432913,19.6002350482799
"Cep83",11.1965469731884,16.7051716801709,17.8344668325615,11.7150753116293,11.4558259563735,19.6850813366094,12.6298182287238,12.8032575829433,9.35683856758486,17.7034381081238
"Plxnc1",31.9610522689197,31.9702423534305,29.7241113876024,26.7494219615535,27.7635311413288,30.6632997743338,33.8033370239372,30.4309310667058,41.585949189266,40.7811342133567
"Cradd",8.55009041588935,13.2489292635838,13.4404677578724,13.8628391187613,9.83853288017963,14.0066924895105,9.65809629255347,11.5043763788766,9.35683856758486,12.9614457577335
"Socs2",53.7434254713045,63.940484706861,56.346576369542,56.4276127510143,58.0877763199647,62.8408365745607,40.3039787593097,40.8219806992396,29.1101644324862,44.5747280936689
